first_name,last_name,price,above_100
William,Dixon,109.03728,True
Kristen,Horn,262.52466,True
Kimberly,Chang,187.00726,True
Mary,Ball,283.17465,True
Benjamin,Craig,143.87158,True
Cathy,Werner,61.50899,False
Brandon,Bell,48.63731,False
Paul,Farley,12.389464,False
Sarah,Mcdaniel,151.59544,True
Caroline,Anderson,75.62152,False
Carl,Jones,147.0294,True
Scott,Lee,244.18565,True
Kaylee,Coleman,17.864271,False
Charles,Parker,215.53728,True
Susan,Hess,38.35997,False
Kiara,Collier,204.18256,True
Scott,Martinez,165.85143,True
Christopher,Ortega,30.301445,False
Michael,Russell,243.17249,True
Dwayne,Johnson,287.4933,True
Patty,Smith,180.23442,True
Deanna,Sherman,99.79912,False
Douglas,Francis,161.76889,True
Vicki,Diaz,18.649878,False
Robin,Phillips,244.91199,True
Travis,Rice,141.49883,True
Ashley,Rocha,50.003036,False
Sarah,Jacobson,80.48183,False
Kayla,Shannon,98.91531,False
Sean,Wang,220.62822,True
Richard,Estrada,49.16869,False
Joseph,Torres,150.12378,True
Kim,Jones,18.843437,False
Melissa,Tanner,269.18402,True
Jackson,Cline,64.312515,False
Sonya,Foster,296.2155,True
Allen,Williams,15.390832,False
Thomas,Rivera,95.22844,False
Jamie,Silva,296.8244,True
Kathleen,Moore,92.50053,False
Evelyn,Pineda,169.22893,True
Kyle,Peters,106.799095,True
Anthony,Cruz,49.101997,False
Eric,Flores,122.955696,True
Anna,Richardson,254.49525,True
Gary,Harper,47.596527,False
Linda,Johnson,115.36278,True
Melissa,Smith,87.97995,False
Kristen,Floyd,135.02304,True
William,Diaz,192.14914,True
Benjamin,Smith,134.90529,True
David,Glenn,216.29105,True
Dawn,Jones,271.6145,True
Joel,Smith,14.49492,False
Larry,Grimes,268.67587,True
Joseph,Arnold,121.77505,True
Kyle,Long,241.62164,True
Brittany,Day,261.54605,True
Bobby,Ward,63.513035,False
Thomas,Lee,254.07558,True
Jennifer,Hansen,101.48874,True
Lisa,Murray,176.09192,True
Meghan,Wade,273.23035,True
Tammie,Brooks,84.88857,False
Maria,Bell,264.07468,True
Allison,Livingston,130.34845,True
Chris,Hays,17.342764,False
Courtney,Mitchell,78.93258,False
Shawn,White,188.02193,True
Taylor,Gomez,225.01982,True
Jeremy,Rodriguez,200.72482,True
April,Garcia,66.24556,False
Zachary,Watts,15.497388,False
Sarah,Montoya,206.82126,True
Jennifer,Barker,89.18616,False
Sharon,Garza,72.35773,False
Tiffany,Stevens,196.37932,True
Ruben,Armstrong,93.698364,False
Jeffrey,Spencer,271.1623,True
Nicole,Ramsey,247.8596,True
Anne,Roy,277.9325,True
Lori,Sanchez,285.66165,True
Allison,Chavez,126.85021,True
Marcus,Adams,36.47041,False
Mary,Smith,16.315071,False
Joseph,Reed,178.45767,True
Jason,Armstrong,26.045258,False
Jeff,Armstrong,88.47562,False
Sean,Shields,247.83952,True
Jessica,Allison,104.74231,True
Christian,Grant,99.11708,False
Edward,Watson,180.35356,True
